station,lat,lon,type
LUNG_O14,54.11333,14.116671,HELCOM
LLUR_225058,54.315,11.55,HELCOM
LLUR_225006,54.6,10.45,HELCOM
GdanskDeep,54.83333333,19.31666667,HELCOM
TF0113,54.925,13.5,HELCOM
BY1,54.991596,13.29149,HELCOM
BY2,54.991596,14.06926,HELCOM_optional
BY5_Bornholm,55.25826,15.95813,HELCOM
BY4,55.39159,15.347025,HELCOM_optional
GreatBelt,55.51666667,10.86666667,HELCOM
BCS_III_10,55.558254,18.40255,HELCOM_optional
HANOBUKTEN,55.62492,14.84703,HELCOM_optional
LANDSKRONA_W,55.85825,12.73594,HELCOM_optional
BY10,56.624905,19.569204,HELCOM_optional
ANHOLT,56.658237,12.124835,HELCOM
BY38,57.124897,17.680334,HELCOM_optional
FLADEN,57.191563,11.62484,HELCOM_optional
BY15,57.391556,20.0692,HELCOM
GulfofRiga_1,57.58333333,23.58333333,HELCOM
GulfofRiga_1,57.6167,23.6167,HELCOM
P2,57.858215,11.29151,HELCOM_optional
BY20,57.991547,19.902534,HELCOM_optional
BY32,58.02488,17.95811,HELCOM_optional
A16,58.25821,10.73596,HELCOM_optional
A17,58.25821,10.51374,HELCOM_optional
A15,58.291542,10.84707,HELCOM_optional
SLAGGO,58.291542,11.40262,HELCOM_optional
A13,58.324875,11.013735,HELCOM
A14,58.324875,11.013735,HELCOM_optional
BY31_LandsortDeep,58.691536,18.29144,HELCOM
B1,58.791534,17.62478,HELCOM_optional
BY29_NBP,58.891533,20.29142,HELCOM
HUVUDSKAR,58.924866,19.18032,HELCOM_optional
N12,59.591522,27.458015,HELCOM_optional
LL07_GoF,59.824852,24.791386,HELCOM
F1,59.92485,26.346914,HELCOM_optional
LL3A_GoF,60.05818,26.346914,HELCOM
F64_Aland_sea,60.191513,19.124765,HELCOM
XV1,60.25818,27.235794,HELCOM_optional
F33,60.52484,18.9581,HELCOM_optional
SR5,60.958168,19.569204,HELCOM_optional
SR7,61.0915,20.569195,HELCOM_optional
SR3,61.191498,18.235886,HELCOM_optional
F26,61.991486,20.0692,HELCOM_optional
MS4,62.091484,18.569216,HELCOM_optional
US5B,62.591473,19.95809,HELCOM_optional
C3,62.65814,18.9581,HELCOM_optional
US2,62.858135,18.902546,HELCOM_optional
Quark,63,21.05,HELCOM
F18,63.324795,20.29142,HELCOM
NB1,63.49146,19.791426,HELCOM_optional
B7,63.52479,19.791426,HELCOM_optional
F13,63.791454,21.458075,HELCOM_optional
BO3,64.29145,22.346954,HELCOM_optional
F9,64.691444,22.06918,HELCOM_optional
RR7,64.72478,23.791386,HELCOM_optional
RR6,64.79144,23.458055,HELCOM_optional
RR1,64.95811,21.84696,HELCOM_optional
F3,65.1581,23.235834,HELCOM_optional
F2,65.391426,23.458055,HELCOM_optional
nw_shetland,60.75,-0.8,OSPAR_optional
M15898,59.32,4.73,OSPAR_optional
J12,59.291527,-2.208355,OSPAR_optional
M388,59.291527,-1.93058,OSPAR_optional
M397,59.291527,-0.652815,OSPAR_optional
M435,59.291527,4.013805,OSPAR_optional
north_northsea,59.28,0,OSPAR_optional
A13,58.324875,11.013735,OSPAR
M55,56.991566,7.347105,OSPAR_optional
M57,56.991566,7.95821,OSPAR_optional
Stonehaven,56.96,-2.11,OSPAR_optional
M10539,56.67,12.12,OSPAR_optional
Gniben,56.08,11.1,OSPAR
NorthSea4,55.75825,-0.319485,OSPAR_optional
NorthSea2,55.458256,3.458255,OSPAR_optional
TERSLG235,55.17,3.16,OSPAR
